System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:53:54:302405172,1200000|1200000|1300000|1300000,22.6228,6.6424,4.7234,53000,
11:53:54:803959998,1200000|1400000|1200000|1300000,23.2317,7.2701,4.6976,53000,
11:53:55:305473020,1500000|1600000|1600000|1500000,23.1825,7.2069,4.6644,53000,
11:53:55:806654796,1700000|1200000|1200000|1600000,24.2577,8.2449,4.6614,53000,
11:53:56:307778995,1200000|1200000|1400000|1200000,23.0197,7.0331,4.6953,53000,
11:53:56:809302920,1200000|1200000|1200000|1700000,22.7267,6.7515,4.6699,53000,
11:53:57:310619730,1200000|1800000|1200000|1200000,22.5150,6.5262,4.6483,53000,
11:53:57:812045990,1900000|1200000|1200000|1200000,22.0976,6.1184,4.6488,52000,
11:53:58:313097247,1200000|1200000|1200000|1200000,21.6736,5.6801,4.6419,52000,
11:53:58:814605821,1700000|1800000|1200000|1200000,23.7983,7.8162,4.6332,53000,
11:53:59:315671502,1600000|1900000|1300000|1300000,23.3975,7.4079,4.6444,52000,
11:53:59:816708510,1400000|1600000|1200000|2200000,23.6504,7.6958,4.6973,52000,
11:54:00:318070306,1700000|1900000|1800000|2000000,23.1295,7.1686,4.6852,53000,
11:54:00:820288749,1200000|1500000|1200000|1800000,23.5993,7.5808,4.6876,52000,
11:54:01:321922290,1200000|1500000|1200000|1200000,21.9483,5.9376,4.6982,52000,
11:54:01:823525716,2200000|2000000|1500000|1800000,23.6812,7.7013,4.7065,53000,
11:54:02:324429497,1900000|1200000|1200000|1200000,22.7051,6.7472,4.6951,52000,
11:54:02:825467758,1700000|1700000|1200000|1800000,24.6330,8.6252,4.6760,53000,
11:54:03:326648848,1200000|1400000|1200000|1800000,22.5965,6.6069,4.6531,53000,
11:54:03:827832091,1200000|1500000|1200000|1500000,23.4369,7.4506,4.6871,52000,
11:54:04:329473233,1300000|1700000|2100000|1600000,22.7546,6.7733,4.6793,53000,
11:54:04:830411687,1200000|1600000|1300000|1700000,22.6877,6.7278,4.6630,52000,
11:54:05:332030372,1200000|1800000|1200000|1700000,24.8748,8.8603,4.7061,52000,
11:54:05:833638556,1300000|1500000|1800000|1400000,23.6889,7.7147,4.6824,53000,
11:54:06:335160399,1200000|1400000|1200000|1200000,22.5777,6.6044,4.7273,52000,
11:54:06:836786512,1300000|1400000|1200000|1500000,22.6210,6.6624,4.6627,53000,
11:54:07:338079913,1200000|1200000|1200000|1200000,22.5355,6.5338,4.7008,53000,
11:54:07:839593191,1200000|1500000|1700000|1400000,23.5973,7.5820,4.6904,53000,
11:54:08:341237616,1600000|1300000|1700000|1900000,24.4916,8.5162,4.7118,52000,
11:54:08:842378612,1300000|1800000|1500000|1900000,22.8002,6.8121,4.7024,52000,
11:54:09:343413111,1500000|1400000|1200000|1900000,22.9480,6.9784,4.6570,52000,
11:54:09:844707586,1200000|1200000|1900000|1500000,23.6587,7.6716,4.6819,53000,
11:54:10:346213059,1500000|1200000|1500000|1300000,22.5760,6.5953,4.6931,53000,
11:54:10:847439501,1500000|1200000|1900000|1200000,23.0343,7.0492,4.6774,51000,
11:54:11:348789456,2100000|1500000|1200000|1700000,23.8647,7.8785,4.6813,53000,
11:54:11:849743753,1300000|2000000|1300000|1500000,22.5940,6.6582,4.6862,53000,
11:54:12:350738947,1500000|1200000|1200000|1300000,22.7471,6.7316,4.6983,51000,
11:54:12:852026774,1200000|1800000|1300000|1500000,22.4637,6.4718,4.6840,54000,
11:54:13:353386063,1500000|1900000|1600000|1500000,23.1170,7.1343,4.7082,53000,
11:54:13:854494528,1200000|1700000|1200000|2000000,23.5816,7.5850,4.6901,51000,
11:54:14:356036567,1300000|1200000|1200000|1200000,23.8556,7.8816,4.7351,51000,
11:54:14:857646549,2000000|1900000|1200000|1500000,22.9894,7.0262,4.6638,53000,
11:54:15:358621257,1200000|1800000|1800000|1500000,24.1231,8.0881,4.7539,52000,
11:54:15:860233098,1200000|1200000|1200000|1500000,22.7169,6.7454,4.6697,52000,
11:54:16:361662612,1500000|1400000|1300000|1700000,23.3350,7.3289,4.6688,53000,
11:54:16:862743087,1200000|2000000|1500000|1200000,22.6887,6.6957,4.6526,53000,
11:54:17:364045016,1900000|1400000|1300000|1600000,22.7057,6.7249,4.7057,53000,
11:54:17:865143840,1200000|1200000|1200000|1200000,22.3187,6.3641,4.6873,51000,
11:54:18:366688362,1300000|1200000|1300000|1400000,23.0796,7.0620,4.7258,53000,
11:54:18:868071038,1200000|2000000|1500000|1700000,22.6838,6.7045,4.6740,53000,
11:54:19:369768974,1200000|1200000|1600000|1200000,22.4099,6.4319,4.7094,52000,
11:54:19:871096600,1400000|1200000|1600000|1800000,24.0488,8.0611,4.6284,53000,
11:54:20:372453399,1500000|1800000|1200000|1800000,22.2911,6.3046,4.7377,52000,
11:54:20:873774298,1700000|1400000|1600000|1400000,23.0293,7.0434,4.6304,53000,
11:54:21:374883328,2000000|1400000|1300000|1400000,23.6926,7.6990,4.6940,53000,
11:54:21:875887250,1700000|1500000|1900000|1800000,22.8313,6.8767,4.6953,52000,
11:54:22:377087580,1200000|1400000|1700000|1700000,22.8159,6.8151,4.6805,53000,
11:54:22:878709353,1200000|1200000|1300000|1300000,22.0632,6.0896,4.6765,53000,
11:54:23:380278064,1700000|1300000|1200000|1200000,21.7207,5.7075,4.6854,52000,
11:54:23:881526363,1800000|1900000|2000000|1200000,21.0342,5.0492,4.6847,53000,
11:54:24:382640310,1200000|1200000|1500000|1900000,22.0402,6.0855,4.7024,52000,
11:54:24:884159473,1200000|1200000|1800000|1200000,22.3048,6.2944,4.6913,52000,
11:54:25:385522912,1200000|1200000|1200000|1200000,21.5740,5.5849,4.7075,53000,
11:54:25:887081970,1400000|1600000|1200000|1200000,21.4082,5.4360,4.6783,52000,
11:54:26:388516092,1200000|1500000|1200000|1500000,22.2002,6.2226,4.7150,52000,
11:54:26:890119814,1600000|1600000|1600000|1200000,22.7959,6.8241,4.6749,53000,
11:54:27:391331005,1300000|1200000|1500000|1200000,22.0404,6.0541,4.6611,53000,
11:54:27:892777521,1400000|1400000|1800000|1200000,21.8490,5.8727,4.6660,53000,
11:54:28:393911510,1600000|1200000|1200000|1400000,21.9773,5.9887,4.6745,53000,
11:54:28:895107693,1600000|1500000|1400000|1200000,21.5505,5.5657,4.6207,53000,
11:54:29:396294411,1600000|1200000|1600000|1200000,21.1826,5.2014,4.6860,53000,
11:54:29:897575047,1700000|1200000|1200000|1400000,21.5195,5.5911,4.6947,52000,
11:54:30:398673113,1200000|1600000|1200000|1500000,21.8087,5.7915,4.6749,53000,
11:54:30:899953157,1400000|1200000|1200000|1200000,23.1302,7.1443,4.7069,52000,
11:54:31:401241264,1800000|1200000|1200000|1800000,21.9322,5.9504,4.6917,52000,
11:54:31:902346006,2200000|1200000|1800000|1300000,21.7087,5.7229,4.6548,52000,
11:54:32:403310272,1200000|1300000|1600000|1800000,21.9987,6.0448,4.6543,52000,
11:54:32:904916952,1700000|1300000|1700000|1700000,22.2230,6.2164,4.6909,51000,
11:54:33:406044469,1900000|1600000|1200000|1400000,21.8344,5.8839,4.6490,52000,
11:54:33:907084077,1300000|1200000|1200000|1200000,21.6260,5.6299,4.6750,53000,
11:54:34:408491099,1900000|1500000|1700000|1300000,20.7514,4.7760,4.6649,52000,
11:54:34:909615663,1200000|1200000|1200000|1300000,21.4959,5.5080,4.6423,53000,
11:54:35:411387201,1200000|1200000|1400000|1500000,22.2048,6.2294,4.7024,51000,
11:54:35:912957504,1200000|1200000|1200000|1200000,21.5651,5.5456,4.7046,52000,
11:54:36:414473325,1200000|1200000|1200000|1400000,21.1730,5.1860,4.6819,51000,
11:54:36:916025270,1200000|1200000|1200000|1200000,21.3783,5.3967,4.6718,52000,
11:54:37:417589454,1900000|1200000|1200000|1200000,21.7085,5.7280,4.6735,51000,
11:54:37:918607835,1300000|1500000|1400000|1200000,21.5157,5.5061,4.6317,53000,
11:54:38:419874303,1200000|1200000|1200000|1200000,20.6703,4.6777,4.6200,51000,
11:54:38:921439699,1400000|1700000|1600000|1200000,21.5274,5.5364,4.7002,51000,
11:54:39:422825539,1200000|1200000|1400000|1500000,20.7954,4.8074,4.7325,52000,
11:54:39:924146288,1200000|1200000|1700000|1200000,20.7156,4.7285,4.6696,52000,
11:54:40:425676177,1200000|1200000|1200000|1200000,21.7292,5.7536,4.6706,52000,
11:54:40:927106212,1200000|1600000|1200000|1200000,21.2689,5.3040,4.6759,52000,
11:54:41:428442256,1200000|1700000|2000000|1200000,20.4485,4.4519,4.6671,52000,
11:54:41:930102222,1500000|1200000|1900000|1200000,22.0813,6.0642,4.7038,52000,
11:54:42:431426876,1200000|1200000|1300000|1300000,21.1110,5.1256,4.7033,53000,
11:54:42:932812955,1200000|1200000|1200000|1200000,20.9600,4.9874,4.6535,52000,
11:54:43:434316801,1200000|1200000|1200000|1800000,20.1877,4.2175,4.6778,52000,
11:54:43:935513795,1600000|1700000|1200000|1200000,22.3603,6.3696,4.7321,52000,
11:54:44:436689471,1200000|1600000|1200000|1200000,20.3704,4.4306,4.6525,52000,
11:54:44:938250691,1200000|1200000|1300000|1700000,19.8936,3.8882,4.6550,52000,
11:54:45:439758468,1200000|1200000|1200000|1200000,20.1699,4.2072,4.7032,53000,
11:54:45:941336073,1200000|1200000|1200000|1200000,20.0366,4.0717,4.6497,53000,
11:54:46:442848672,1200000|1200000|1200000|1500000,20.1547,4.1890,4.6790,52000,
11:54:46:944396381,1200000|1200000|1200000|1300000,20.0990,4.1277,4.6727,52000,
11:54:47:445976841,1200000|1200000|1200000|1200000,20.2899,4.2766,4.6510,52000,
11:54:47:947494562,1900000|1400000|1300000|1200000,20.1046,4.1355,4.6452,52000,
11:54:48:448527541,1200000|1200000|1200000|1500000,20.0333,4.0543,4.7197,52000,
