System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
11:58:40:110453276,2100000|1900000|1900000|2200000,37.0223,20.1661,6.2655,53000,
11:58:40:612021923,2100000|2200000|2200000|2200000,36.9461,20.1225,6.1186,53000,
11:58:41:113235990,2200000|2200000|2000000|2200000,36.8731,19.9987,6.2596,53000,
11:58:41:614628946,2100000|2100000|2200000|2100000,36.6383,19.8145,6.2093,53000,
11:58:42:116960934,2100000|1700000|2200000|1900000,36.9924,20.1520,6.0760,53000,
11:58:42:620416321,2000000|2100000|1900000|2200000,36.8702,20.1781,5.9635,53000,
11:58:43:121786453,2200000|2000000|2100000|1600000,36.8486,20.0563,6.0941,53000,
11:58:43:622983039,2200000|2200000|2200000|2200000,37.3980,20.5867,6.1530,54000,
11:58:44:127389500,2200000|2200000|2100000|2000000,36.8969,20.0674,6.1833,53000,
11:58:44:630044414,2200000|2200000|2200000|1900000,36.9741,20.2557,6.0308,53000,
11:58:45:134029966,2200000|2200000|2200000|2100000,37.1151,20.2611,6.1097,53000,
11:58:45:635683296,1800000|1800000|2200000|2200000,37.1241,20.3716,6.2095,53000,
11:58:46:139825789,2200000|2200000|2000000|1800000,36.2442,19.4489,6.0053,53000,
11:58:46:642056821,2200000|2000000|1600000|1800000,36.9225,20.0921,6.1224,53000,
11:58:47:143207886,2000000|1900000|1900000|2200000,36.7407,19.8914,6.2402,53000,
11:58:47:646086584,1800000|2100000|1900000|2000000,36.4372,19.6285,6.3492,53000,
11:58:48:147485874,1800000|1900000|2200000|2200000,36.5072,19.6186,6.4268,54000,
11:58:48:648915562,2100000|2100000|2200000|2000000,36.5949,19.6912,6.4372,53000,
11:58:49:150763730,2200000|1800000|1900000|1900000,36.4769,19.5172,6.5234,53000,
11:58:49:652099832,2100000|2000000|1800000|2000000,36.6525,19.7078,6.6027,53000,
11:58:50:154793421,2100000|2000000|2000000|1700000,36.1470,19.3730,6.3308,53000,
11:58:50:658062232,2100000|2200000|2000000|2100000,36.6811,19.7745,6.5576,54000,
11:58:51:159841184,2000000|1800000|1500000|1200000,36.2952,19.3605,6.5032,53000,
11:58:51:663951664,2100000|1900000|2100000|1600000,36.8417,19.9987,6.3014,53000,
11:58:52:165684650,2200000|2000000|2000000|1800000,37.1485,20.2751,6.5030,53000,
11:58:52:667868799,1900000|1700000|2200000|1900000,36.2615,19.3302,6.6736,53000,
11:58:53:170611028,1900000|2200000|2000000|2100000,36.1146,19.2410,6.5030,53000,
11:58:53:674080397,2100000|2000000|1900000|2100000,36.9367,20.1188,6.3857,52000,
11:58:54:184368002,2200000|2200000|1400000|2000000,37.0063,20.2139,6.2529,53000,
11:58:54:692094630,2200000|2200000|1900000|2200000,37.4828,20.5927,6.2701,54000,
11:58:55:194789714,1900000|2100000|2100000|2100000,36.5559,19.8208,6.0396,53000,
11:58:55:700209770,2200000|2200000|2200000|2100000,37.2049,20.3475,6.5025,54000,
11:58:56:202178559,2200000|2100000|2100000|1600000,37.2456,20.4026,6.2571,54000,
11:58:56:703716661,2100000|1700000|2200000|2000000,36.7881,19.9571,6.2150,54000,
11:58:57:205952614,2200000|2200000|1800000|2100000,36.7355,19.8983,6.2869,53000,
11:58:57:708150631,2000000|1900000|2000000|2200000,37.4576,20.5559,6.5967,53000,
11:58:58:209614712,1800000|2200000|2200000|2200000,37.1832,20.3559,6.3000,54000,
11:58:58:712467259,2200000|2100000|2200000|1800000,36.6499,19.8401,6.3311,54000,
11:58:59:217320955,2200000|2000000|2200000|2200000,37.2346,20.4377,6.0583,54000,
11:58:59:720664833,2200000|2100000|2100000|2200000,37.2418,20.4784,6.0373,54000,
