System Time,IA Frequency_0 (MHz),Processor Power_0 (Watt)IA Power_0 (Watt),DRAM Power_0 (Watt),ThermalZone0(Celsius),
15:13:31:904143827,1300000|1700000|1300000|2100000,26.4218,10.1619,5.2316,51000,
15:13:32:238198127,1200000|1600000|1200000|1200000,22.6568,6.6556,4.6882,50000,
15:13:32:572777253,1600000|1900000|2200000|1500000,23.1318,7.1145,4.6907,51000,
15:13:32:906765444,1700000|1700000|1900000|1200000,22.8885,6.8979,4.7038,50000,
15:13:33:240996570,1300000|1200000|1200000|1900000,21.6269,5.6393,4.6945,50000,
15:13:33:575476560,1200000|1200000|1200000|1200000,21.4639,5.5135,4.7156,50000,
15:13:33:910078366,1200000|1300000|1200000|1200000,22.6461,6.3773,5.1724,51000,
15:13:34:244762129,1200000|1200000|1200000|1200000,21.6845,5.6613,4.6606,51000,
15:13:34:579348839,1500000|1500000|1200000|1200000,22.0759,6.0606,4.7629,51000,
15:13:34:913607725,1200000|1600000|2000000|1500000,22.2740,6.3023,4.7552,50000,
15:13:35:248141240,1200000|1200000|1200000|1500000,21.8234,5.8064,4.7094,50000,
15:13:35:582742580,1200000|1600000|1400000|1900000,21.5195,5.5675,4.6904,50000,
15:13:35:917431858,1300000|1300000|1300000|1300000,25.5480,9.3473,5.1767,51000,
15:13:36:251886635,1200000|1200000|1500000|1200000,22.2228,6.1762,4.7568,50000,
15:13:36:586437290,1200000|1200000|1300000|1200000,21.5432,5.5901,4.6928,51000,
15:13:36:921029080,1500000|1300000|1400000|1400000,23.5142,7.5001,4.7069,51000,
15:13:37:255312042,1200000|1200000|1200000|1700000,22.6471,6.6677,4.7717,50000,
15:13:37:589688446,1200000|1200000|1200000|1200000,21.4951,5.4569,4.7294,50000,
15:13:37:924224329,1500000|1500000|1500000|1300000,21.7765,5.7944,4.7575,51000,
15:13:38:258537515,1200000|1200000|1200000|1200000,23.1122,6.8708,5.0014,50000,
15:13:38:593150234,1500000|1900000|1600000|1900000,22.1313,6.1163,4.7262,50000,
15:13:38:927406203,1200000|1600000|1700000|1200000,21.8896,5.9096,4.7872,51000,
15:13:39:261868588,1600000|1700000|1300000|1200000,21.2437,5.2179,4.6546,50000,
15:13:39:596166776,1200000|1200000|1400000|1200000,20.0903,4.1220,4.7004,51000,
15:13:39:930534379,1200000|1200000|1200000|1200000,20.9238,4.9635,4.6661,49000,
15:13:40:265146692,1500000|1700000|1500000|1300000,24.6602,8.4016,5.0554,51000,
15:13:40:599535672,1200000|1200000|1200000|1200000,21.7529,5.7414,4.7067,51000,
15:13:40:934144189,1800000|1200000|1200000|1500000,21.4498,5.4992,4.6829,51000,
15:13:41:268294567,1200000|1200000|1200000|1200000,18.8924,2.8677,4.6387,50000,
15:13:41:602892622,1200000|1200000|1200000|1200000,21.5024,5.5596,4.7152,49000,
15:13:41:937546646,1700000|1200000|1800000|1300000,21.1883,5.1745,4.6664,51000,
15:13:42:271664847,1200000|1200000|1200000|1200000,19.6260,3.6663,4.7152,49000,
15:13:42:606256973,2000000|1700000|1600000|1200000,23.4595,7.1739,5.1584,51000,
15:13:42:940282850,1200000|1200000|1200000|1200000,18.6998,2.7332,4.6336,49000,
15:13:43:274793445,1300000|1700000|1500000|1600000,20.6625,4.6492,4.6538,51000,
15:13:43:609048171,1900000|1700000|1200000|1200000,19.9809,4.0110,4.6743,49000,
15:13:43:943115692,1200000|1700000|1200000|1200000,18.7007,2.7381,4.6892,49000,
15:13:44:277762469,1200000|1400000|1200000|1200000,21.7020,5.6941,4.7087,49000,
15:13:44:612361231,1200000|1200000|1200000|1200000,18.5314,2.5984,4.5858,49000,
15:13:44:946895783,1200000|1200000|1200000|1200000,18.5570,2.5720,4.6246,49000,
15:13:45:281368238,1200000|1200000|1200000|1900000,23.6450,7.4261,5.0635,49000,
15:13:45:615913593,1200000|1200000|1200000|1900000,18.8210,2.8974,4.6680,50000,
15:13:45:950405582,1200000|1200000|1200000|1200000,18.5807,2.5905,4.6119,50000,
15:13:46:284920741,1200000|1200000|1200000|1200000,21.8533,5.8334,4.6562,49000,
15:13:46:619507259,1200000|1200000|1200000|1200000,18.4980,2.5739,4.6551,49000,
15:13:46:954060132,1200000|1200000|1200000|1200000,18.5361,2.5536,4.6389,49000,
15:13:47:288591474,1200000|1200000|1700000|1200000,21.7123,5.7019,4.6851,50000,
